Jahr;AGS;Name;Viehbestand 2016
01.03.2016;14375;      D�beln, Landkreis;-
01.03.2016;14379;      Leipziger Land, Landkreis;-
01.03.2016;14383;      Muldentalkreis;-
01.03.2016;14389;      Torgau-Oschatz, Landkreis;-
01.03.2016;145;    Chemnitz, Stat. Region;207885
01.03.2016;14511;      Chemnitz, Stadt;4114
01.03.2016;14521;      Erzgebirgskreis;54131
01.03.2016;14522;      Mittelsachsen, Landkreis;78931
01.03.2016;14523;      Vogtlandkreis;38119
01.03.2016;14524;      Zwickau, Landkreis;32590
01.03.2016;146;    Dresden, Stat. Region;169298
01.03.2016;14612;      Dresden, Stadt;1220
01.03.2016;14625;      Bautzen, Landkreis;48161
01.03.2016;14626;      G�rlitz, Landkreis;38589
01.03.2016;14627;      Mei�en, Landkreis;43265
01.03.2016;14628;      S�chsische Schweiz-Osterzgebirge, Landkreis;38064
01.03.2016;147;    Leipzig, Stat. Region;85736
01.03.2016;14713;      Leipzig, Stadt;2282
01.03.2016;14729;      Leipzig, Landkreis;36350
01.03.2016;14730;      Nordsachsen, Landkreis;47104
01.03.2016;15;  Sachsen-Anhalt;424301
01.03.2016;15001;      Dessau-Ro�lau, kreisfreie Stadt;1712
01.03.2016;15002;      Halle (Saale), kreisfreie Stadt;225
01.03.2016;15003;      Magdeburg, kreisfreie Stadt;611
01.03.2016;15081;      Altmarkkreis Salzwedel;54003
01.03.2016;15082;      Anhalt-Bitterfeld, Landkreis;42139
01.03.2016;15083;      B�rde, Landkreis;54578
01.03.2016;15084;      Burgenlandkreis;27414
01.03.2016;15085;      Harz, Landkreis;23690
01.03.2016;15086;      Jerichower Land, Landkreis;49696
01.03.2016;15087;      Mansfeld-S�dharz, Landkreis;15868
01.03.2016;15088;      Saalekreis;30065
01.03.2016;15089;      Salzlandkreis;22129
01.03.2016;15090;      Stendal, Landkreis;60046
01.03.2016;15091;      Wittenberg, Landkreis;42127
01.03.2016;151;    Dessau, Stat. Region;-
01.03.2016;15101;      Dessau, kreisfreie Stadt;-
01.03.2016;15151;      Anhalt-Zerbst, Kreis;-
