"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE933008599651";"Mein´s?";"In Betrieb";"8/1/2016";"1/1/2021";"Solare Strahlungsenergie";"3,06";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR962319929864";"6/6/2021"
"SEE962174944453";"SolarPanel";"In Betrieb";"8/2/2016";"12/30/2020";"Solare Strahlungsenergie";"1,65";"1,4";"16348";"Wandlitz";"(natürliche Person)";"ABR937008817944";"12/30/2020"
"SEE999713584238";"JohanBernau";"In Betrieb";"8/3/2016";"1/31/2021";"Solare Strahlungsenergie";"7,28";"7";"16321";"Bernau";"(natürliche Person)";"ABR926850923644";"3/6/2021"
"SEE939341995495";"Erweiterung Süddach";"In Betrieb";"8/9/2016";"9/17/2019";"Solare Strahlungsenergie";"1,65";"1,65";"16356";"Ahrensfelde";"(natürliche Person)";"ABR995165133048";"5/3/2022"
"SEE987445630385";"Solaranlage";"In Betrieb";"8/10/2016";"7/11/2020";"Solare Strahlungsenergie";"5,6";"5,6";"16348";"Wandlitz";"(natürliche Person)";"ABR959518481286";"6/29/2021"
"SEE974542143054";"PVA Biesenthal Buchenallee";"In Betrieb";"8/10/2016";"1/24/2021";"Solare Strahlungsenergie";"4,59";"3,6";"16359";"Biesenthal";"(natürliche Person)";"ABR975956726086";"2/8/2021"
"SEE927872554090";"HausdachMadMike";"In Betrieb";"8/12/2016";"2/13/2019";"Solare Strahlungsenergie";"4,13";"4,13";"16321";"Bernau";"(natürliche Person)";"ABR985005291182";"11/20/2020"
"SEE944742470779";"Home";"In Betrieb";"8/25/2016";"4/5/2021";"Solare Strahlungsenergie";"7,695";"7";"16348";"Wandlitz";"(natürliche Person)";"ABR914362759745";"7/1/2021"
"SEE957917103648";"Solarole";"In Betrieb";"9/2/2016";"4/5/2021";"Solare Strahlungsenergie";"4,2";"4,2";"16348";"Wandlitz";"(natürliche Person)";"ABR954703341826";"7/16/2021"
"SEE911528714686";"Hausdach";"In Betrieb";"9/5/2016";"2/13/2019";"Solare Strahlungsenergie";"3,06";"2,5";"16348";"Wandlitz";"(natürliche Person)";"ABR994844847788";"8/26/2021"
"SEE993401967419";"EWE PV-Anlage";"In Betrieb";"9/5/2016";"1/14/2021";"Solare Strahlungsenergie";"4,2";"4,2";"16341";"Panketal";"(natürliche Person)";"ABR912614453908";"7/3/2021"
"SEE974192351991";"Dach";"In Betrieb";"9/7/2016";"6/4/2019";"Solare Strahlungsenergie";"5,985";"5";"16341";"Panketal";"(natürliche Person)";"ABR962867026954";"6/4/2019"
"SEE912003852589";"Scheune";"In Betrieb";"9/9/2016";"9/15/2019";"Solare Strahlungsenergie";"9,9";"9,9";"16348";"Marienwerder";"(natürliche Person)";"ABR972046586803";"11/1/2019"
"SEE929035313322";"Hausdach";"In Betrieb";"9/9/2016";"12/31/2020";"Solare Strahlungsenergie";"2,55";"2,55";"16348";"Wandlitz";"(natürliche Person)";"ABR996716004213";"12/31/2020"
"SEE978197286975";"Hausdach";"In Betrieb";"9/19/2016";"11/10/2020";"Solare Strahlungsenergie";"3,12";"3";"16341";"Panketal";"(natürliche Person)";"ABR961128234190";"11/10/2020"
"SEE921798823391";"Hausdach";"In Betrieb";"9/27/2016";"10/26/2021";"Solare Strahlungsenergie";"5,2";"4";"16227";"Eberswalde";"(natürliche Person)";"ABR964369153800";"12/21/2021"
"SEE939501247310";"Anlage Hauptdach 3,12 KW";"In Betrieb";"9/30/2016";"11/24/2020";"Solare Strahlungsenergie";"3,12";"3,12";"16356";"Werneuchen";"(natürliche Person)";"ABR906814867818";"12/4/2020"
"SEE967482693574";"Hausdach";"In Betrieb";"10/4/2016";"9/20/2021";"Solare Strahlungsenergie";"7,14";"3";"16321";"Bernau";"(natürliche Person)";"ABR991145834981";"10/1/2021"
"SEE906952965445";"Wohngebäude";"In Betrieb";"10/6/2016";"3/20/2021";"Solare Strahlungsenergie";"9";"9";"16321";"Bernau";"(natürliche Person)";"ABR953797037660";"3/20/2021"
"SEE988344279361";"Hausdach";"In Betrieb";"10/7/2016";"11/20/2021";"Solare Strahlungsenergie";"7";"5,7";"16225";"Eberswalde";"(natürliche Person)";"ABR953748729897";"11/20/2021"
