,AGS,Name,Bundesland,mobility_car_density,mobility_ev_hybrid,mobility_rank,mobility_third,mobility_pc_km_umweltfreundlich_2002,mobility_pc_km_umweltfreundlich_2017
139,6434,Hochtaunuskreis,Hessen,69.30109137237862,3.473238806788699,377,schlechtesten Drittel,19.563925179273795,21.518746641312887
140,6435,Main-Kinzig-Kreis,Hessen,61.996859244565655,1.9689938955994006,184,mittleren Drittel,19.563925179273795,21.518746641312887
141,6436,Main-Taunus-Kreis,Hessen,73.71947040238051,3.7705411324161218,397,schlechtesten Drittel,19.563925179273795,21.518746641312887
142,6437,Odenwaldkreis,Hessen,65.13052716264582,1.982403845162089,270,schlechtesten Drittel,19.563925179273795,21.518746641312887
143,6438,Offenbach,Hessen,61.234634902340346,2.19013836280933,166,mittleren Drittel,19.563925179273795,21.518746641312887
144,6439,Rheingau-Taunus-Kreis,Hessen,66.0084709099552,2.249117391002462,302,schlechtesten Drittel,19.563925179273795,21.518746641312887
145,6440,Wetteraukreis,Hessen,62.610657092161055,2.127311405661921,201,mittleren Drittel,19.563925179273795,21.518746641312887
146,6531,Gießen,Hessen,57.529116002257446,1.8986785109611026,104,besten Drittel,19.563925179273795,21.518746641312887
147,6532,Lahn-Dill-Kreis,Hessen,65.2859127579293,1.5819137683333069,279,schlechtesten Drittel,19.563925179273795,21.518746641312887
148,6533,Limburg-Weilburg,Hessen,65.73145248583288,2.000474649656458,294,schlechtesten Drittel,19.563925179273795,21.518746641312887
149,6534,Marburg-Biedenkopf,Hessen,58.73090691881656,1.4018862481054217,117,besten Drittel,19.563925179273795,21.518746641312887
150,6535,Vogelsbergkreis,Hessen,68.91483945453339,1.5131871563626729,371,schlechtesten Drittel,19.563925179273795,21.518746641312887
151,6611,Kassel,Hessen,45.84443579533547,1.6865762502120696,13,besten Drittel,19.563925179273795,21.518746641312887
152,6631,Fulda,Hessen,64.58053781332188,1.5891972161093517,262,mittleren Drittel,19.563925179273795,21.518746641312887
153,6632,Hersfeld-Rotenburg,Hessen,66.4414170751396,1.1659162970298678,316,schlechtesten Drittel,19.563925179273795,21.518746641312887
154,6633,Kassel,Hessen,64.15951582177115,1.717045703592562,243,mittleren Drittel,19.563925179273795,21.518746641312887
155,6634,Schwalm-Eder-Kreis,Hessen,66.78515095639037,1.5534401172994468,322,schlechtesten Drittel,19.563925179273795,21.518746641312887
156,6635,Waldeck-Frankenberg,Hessen,67.61291394325072,1.4075508104758072,339,schlechtesten Drittel,19.563925179273795,21.518746641312887
157,6636,Werra-Meißner-Kreis,Hessen,63.52367771827426,1.1512926971137454,225,mittleren Drittel,19.563925179273795,21.518746641312887
158,7111,Koblenz,Rheinland-Pfalz,57.17717664865627,2.0670902339006316,94,besten Drittel,14.824903843387014,18.740222930100728
159,7131,Ahrweiler,Rheinland-Pfalz,67.72275373402213,1.651241552604061,342,schlechtesten Drittel,14.824903843387014,18.740222930100728
160,7132,Altenkirchen (Westerwald),Rheinland-Pfalz,65.99593071382705,1.507028415376641,300,schlechtesten Drittel,14.824903843387014,18.740222930100728
161,7133,Bad Kreuznach,Rheinland-Pfalz,63.78464511110275,1.5024905584622528,234,mittleren Drittel,14.824903843387014,18.740222930100728
162,7134,Birkenfeld,Rheinland-Pfalz,65.34527328723917,1.4681690558943212,281,schlechtesten Drittel,14.824903843387014,18.740222930100728
163,7135,Cochem-Zell,Rheinland-Pfalz,68.1752652466186,1.300720822871953,351,schlechtesten Drittel,14.824903843387014,18.740222930100728
