,AGS,Name,Bundesland,buildings_anteil_erneuerbare_2016,buildings_anteil_erneuerbare_2020,buildings_rank,buildings_third,buildings_heating_2002,buildings_heating_2020
220,8315,Breisgau-Hochschwarzwald,Baden-Württemberg,28.457142857142852,61.27508854781582,88,besten Drittel,149.45,126.83
221,8316,Emmendingen,Baden-Württemberg,52.91902071563088,58.94039735099337,104,besten Drittel,149.45,126.83
222,8317,Ortenaukreis,Baden-Württemberg,61.33434420015163,65.09863429438543,62,besten Drittel,149.45,126.83
223,8325,Rottweil,Baden-Württemberg,58.09248554913295,73.56076759061834,23,besten Drittel,149.45,126.83
224,8326,Schwarzwald-Baar-Kreis,Baden-Württemberg,55.43933054393305,48.91146589259796,179,mittleren Drittel,149.45,126.83
225,8327,Tuttlingen,Baden-Württemberg,51.21951219512195,68.27956989247312,48,besten Drittel,149.45,126.83
226,8335,Konstanz,Baden-Württemberg,56.88775510204081,57.685009487666036,113,besten Drittel,149.45,126.83
227,8336,Lörrach,Baden-Württemberg,41.02990033222593,54.12748171368861,144,mittleren Drittel,149.45,126.83
228,8337,Waldshut,Baden-Württemberg,60.77057793345008,68.24769433465086,49,besten Drittel,149.45,126.83
229,8415,Reutlingen,Baden-Württemberg,51.67464114832536,64.73254759746146,64,besten Drittel,149.45,126.83
230,8416,Tübingen,Baden-Württemberg,51.92307692307693,48.4375,181,mittleren Drittel,149.45,126.83
231,8417,Zollernalbkreis,Baden-Württemberg,75.48209366391184,73.16666666666667,25,besten Drittel,149.45,126.83
