Kennziffer;Raumeinheit;Aggregat;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohngebäude mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie;Fertiggestellte Wohnungen mit erneuerbarer Heizenergie
"08117";"Göppingen";"Landkreis";"62,23";"65,27";"64,48";"70,30";"47,94";"58,51";"46,88"
"08118";"Ludwigsburg";"Landkreis";"48,74";"49,50";"62,66";"67,29";"37,78";"49,27";"54,34"
"08119";"Rems-Murr-Kreis";"Landkreis";"46,93";"62,09";"68,91";"63,17";"45,27";"51,50";"45,57"
"08121";"Heilbronn, Stadt";"kreisfreie Stadt";"48,75";"55,00";"64,10";"60,20";"29,03";"42,95";"33,89"
"08125";"Heilbronn";"Landkreis";"62,23";"66,17";"73,38";"76,48";"56,92";"69,93";"66,58"
"08126";"Hohenlohekreis";"Landkreis";"74,59";"81,11";"73,86";"81,09";"76,64";"68,06";"70,86"
"08127";"Schwäbisch Hall";"Landkreis";"52,20";"51,72";"60,45";"59,13";"38,27";"50,08";"58,87"
"08128";"Main-Tauber-Kreis";"Landkreis";"70,26";"76,14";"70,83";"74,67";"66,17";"56,54";"70,42"
"08135";"Heidenheim";"Landkreis";"42,34";"50,61";"58,49";"61,84";"64,45";"46,51";"62,11"
"08136";"Ostalbkreis";"Landkreis";"59,01";"70,78";"71,02";"72,14";"66,77";"68,45";"72,41"
"08211";"Baden-Baden, Stadt";"kreisfreie Stadt";"44,64";"49,25";"50,88";"61,82";"50,96";"49,16";"44,44"
"08212";"Karlsruhe, Stadt";"kreisfreie Stadt";"33,63";"31,61";"13,68";"48,31";"14,86";"9,47";"35,28"
"08215";"Karlsruhe";"Landkreis";"56,01";"53,20";"64,91";"66,56";"40,21";"58,87";"50,87"
"08216";"Rastatt";"Landkreis";"41,74";"62,50";"69,00";"72,35";"35,77";"44,80";"70,08"
"08221";"Heidelberg, Stadt";"kreisfreie Stadt";"22,99";"31,15";"37,25";"18,33";"6,06";"15,00";"4,09"
"08222";"Mannheim, Stadt";"kreisfreie Stadt";"28,98";"18,63";"37,04";"33,33";"21,55";"20,69";"24,48"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"76,42";"85,02";"90,00";"86,42";"83,27";"80,06";"84,08"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"50,55";"64,25";"65,89";"66,33";"51,98";"60,73";"54,69"
"08231";"Pforzheim, Stadt";"kreisfreie Stadt";"37,50";"54,17";"47,17";"78,76";"44,66";"59,41";"72,63"
"08235";"Calw";"Landkreis";"65,86";"80,47";"79,57";"82,71";"60,69";"65,96";"75,74"
"08236";"Enzkreis";"Landkreis";"58,89";"69,93";"66,67";"75,00";"61,54";"61,27";"67,18"
"08237";"Freudenstadt";"Landkreis";"63,74";"67,24";"73,68";"70,98";"52,41";"57,63";"54,12"
"08311";"Freiburg im Breisgau, Stadt";"kreisfreie Stadt";"41,25";"53,76";"33,33";"42,11";"19,15";"22,35";"29,94"
"08315";"Breisgau-Hochschwarzwald";"Landkreis";"35,46";"52,89";"56,21";"61,95";"50,12";"51,62";"56,27"
"08316";"Emmendingen";"Landkreis";"59,51";"63,04";"73,15";"69,67";"52,07";"66,81";"62,96"
"08317";"Ortenaukreis";"Landkreis";"66,37";"70,56";"73,42";"71,48";"57,21";"59,62";"54,25"
"08325";"Rottweil";"Landkreis";"64,95";"69,42";"72,12";"74,24";"63,49";"64,48";"67,26"
"08326";"Schwarzwald-Baar-Kreis";"Landkreis";"45,65";"55,33";"55,89";"59,34";"52,53";"40,23";"59,66"
"08327";"Tuttlingen";"Landkreis";"50,41";"66,67";"67,43";"66,94";"55,82";"65,36";"65,53"
"08335";"Konstanz";"Landkreis";"59,71";"63,33";"66,75";"67,20";"49,42";"54,02";"56,44"
"08336";"Lörrach";"Landkreis";"54,04";"62,72";"71,76";"58,19";"55,59";"64,87";"43,34"
